번호,종목코드,종목명,최초지정일,지정사유,상장일,업종,액면가,상장주식수
"59","065170","비엘팜텍","2025/03/24","5사업연도 연속 영업손실 발생","2002/11/19","유통","500","27913793"
"60","294090","이오플로우","2025/03/24","내부회계관리제도 비적정 등,반기 자기자본 10억원 미만,반기 검토(감사)의견 비적정,반기 자본잠식률 50% 이상","2020/09/14","의료·정밀기기","100","41809105"
"61","313760","캐리","2025/03/24","5사업연도 연속 영업손실 발생,내부회계관리제도 비적정 등","2019/07/25","전기·전자","500","11207186"
"62","071850","캐스텍코리아","2025/03/24","5사업연도 연속 영업손실 발생","2014/05/27","운송장비·부품","500","24260938"
"63","080720","한국유니온제약","2025/03/24","내부회계관리제도 비적정 등,반기 자본잠식률 50% 이상,반기 검토(감사)의견 비적정","2018/07/26","제약","500","7912828"
"64","091440","한울소재과학","2025/03/24","5사업연도 연속 영업손실 발생","2008/02/01","전기·전자","500","33382498"
"65","067630","HLB생명과학","2025/03/21","5사업연도 연속 영업손실 발생","2008/11/25","제약","500","121917058"
"66","050090","비케이홀딩스","2025/03/21","5사업연도 연속 영업손실 발생","2004/06/29","일반서비스","500","23534735"
"67","058450","한주에이알티","2025/03/21","5사업연도 연속 영업손실 발생","2002/01/17","오락·문화","500","5013372"
"68","078860","아이오케이이엔엠","2025/03/20","5사업연도 연속 영업손실 발생","2006/06/27","오락·문화","100","6177188"
"69","109960","앱토크롬","2025/03/14","5사업연도 연속 영업손실 발생","2009/11/13","유통","500","15132233"
"70","052020","에스티큐브","2025/03/12","5사업연도 연속 영업손실 발생","2001/07/05","유통","500","67983291"
"71","060240","스타코링크","2024/10/22","내부회계관리제도 비적정 등","2002/01/04","운송장비·부품","500","5821060"
"72","196490","디에이테크놀로지","2024/08/16","반기 자본잠식률 50% 이상,반기 자기자본 10억원 미만,내부회계관리제도 비적정 등,반기 검토(감사)의견 비적정","2014/11/19","기계·장비","500","11351645"
"73","079970","투비소프트","2024/08/16","반기 검토(감사)의견 비적정,내부회계관리제도 비적정 등","2010/06/01","IT 서비스","500","12829234"
"74","033200","모아텍","2024/06/20","5사업연도 연속 영업손실 발생","1997/10/13","전기·전자","500","9204529"
"75","245620","EDGC","2024/04/09","내부회계관리제도 비적정 등,반기 자본잠식률 50% 이상,반기 검토(감사)의견 비적정","2018/06/26","일반서비스","100","225531114"
"76","182400","엔케이젠바이오텍코리아","2024/04/08","내부회계관리제도 비적정 등,반기 자본잠식률 50% 이상,5사업연도 연속 영업손실 발생","2015/10/23","제약","100","72342431"
"77","096610","알에프세미","2024/04/01","내부회계관리제도 비적정 등,반기 검토(감사)의견 비적정","2007/11/20","전기·전자","500","17386411"
"78","036690","코맥스","2024/03/22","5사업연도 연속 영업손실 발생","2000/01/18","전기·전자","500","43567455"
"79","082660","코스나인","2024/03/22","5사업연도 연속 영업손실 발생,반기 자본잠식률 50% 이상,내부회계관리제도 비적정 등,반기 검토(감사)의견 비적정","2005/10/05","화학","500","99640869"
"80","123840","뉴온","2024/03/21","5사업연도 연속 영업손실 발생","2010/10/05","음식료·담배","1000","6365430"
"81","031860","디에이치엑스컴퍼니","2024/03/21","5사업연도 연속 영업손실 발생,내부회계관리제도 비적정 등","1997/01/07","유통","500","27005423"
"82","054180","메디콕스","2024/03/21","5사업연도 연속 영업손실 발생,내부회계관리제도 비적정 등,반기 검토(감사)의견 비적정","2001/10/16","운송장비·부품","500","5527981"
"83","065690","파커스","2024/03/21","5사업연도 연속 영업손실 발생","2002/07/16","화학","500","14049331"
"84","175140","휴먼테크놀로지","2024/03/21","5사업연도 연속 영업손실 발생","2015/09/23","전기·전자","500","24944253"
"85","244460","올리패스","2023/08/16","내부회계관리제도 비적정 등,반기 검토(감사)의견 비적정","2019/09/20","제약","500","8125511"
"86","046070","코다코","2023/08/16","반기 검토(감사)의견 비적정","2000/12/26","운송장비·부품","500","15486089"
"87","073640","테라사이언스","2023/08/16","반기 검토(감사)의견 비적정,내부회계관리제도 비적정 등","2004/01/06","금속","100","106378770"
"88","068940","셀피글로벌","2023/03/22","내부회계관리제도 비적정 등,반기 검토(감사)의견 비적정","2010/10/19","전기·전자","200","45912716"
"89","043090","더테크놀로지","2023/03/20","내부회계관리제도 비적정 등","2001/10/11","유통","500","4139425"
"90","269620","시스웍","2022/03/24","내부회계관리제도 비적정 등,반기 자기자본 10억원 미만,반기 자본잠식률 50% 이상,반기 검토(감사)의견 비적정","2017/12/26","의료·정밀기기","100","148582691"
