date,open,high,low,close,volume,change_pct
2025-06-30,3072.75,3086.0,3063.42,3071.7,464162919,0.52
2025-07-01,3089.64,3133.52,3088.45,3089.65,576016844,0.58
2025-07-02,3083.82,3090.61,3032.47,3075.06,696798456,-0.47
2025-07-03,3100.33,3116.27,3085.98,3116.27,539120202,1.34
2025-07-04,3122.28,3123.84,3052.91,3054.28,520763440,-1.99
2025-07-07,3044.78,3068.43,3032.99,3059.47,359404588,0.17
2025-07-08,3071.74,3115.86,3066.03,3114.95,745793067,1.81
2025-07-09,3123.22,3137.17,3111.02,3133.74,642960883,0.6
2025-07-10,3144.14,3183.23,3133.81,3183.23,596571574,1.58
2025-07-11,3186.35,3216.69,3170.46,3175.77,465292057,-0.23
2025-07-14,3175.59,3202.06,3170.72,3202.03,444035800,0.83
2025-07-15,3194.82,3216.01,3183.83,3215.28,419651712,0.41
2025-07-16,3207.48,3209.2,3178.42,3186.38,531498719,-0.9
2025-07-17,3201.42,3201.42,3152.42,3192.29,424787619,0.19
2025-07-18,3200.44,3204.75,3169.69,3188.07,393449261,-0.13
2025-07-21,3191.11,3211.14,3188.87,3210.81,343910781,0.71
2025-07-22,3210.12,3220.27,3155.25,3169.94,378485911,-1.27
2025-07-23,3189.65,3199.86,3141.93,3183.77,664826146,0.44
2025-07-24,3209.43,3237.97,3183.05,3190.45,425499879,0.21
2025-07-25,3184.37,3205.82,3184.37,3196.05,389290718,0.18
2025-07-28,3228.61,3228.61,3180.18,3209.52,502719579,0.42
2025-07-29,3192.17,3232.31,3169.03,3230.57,373203172,0.66
2025-07-30,3233.31,3269.4,3227.28,3254.47,338073688,0.74
2025-07-31,3275.78,3288.26,3227.46,3245.44,540323825,-0.28
2025-08-01,3210.32,3210.32,3117.92,3119.41,507776245,-3.88
2025-08-04,3114.27,3157.45,3105.63,3147.75,293453733,0.91
2025-08-05,3187.15,3212.31,3174.23,3198.0,273439606,1.6
2025-08-06,3182.06,3200.15,3176.61,3198.14,327358365,0.0
2025-08-07,3214.81,3227.68,3200.28,3227.68,327047544,0.92
2025-08-08,3220.58,3227.28,3198.31,3210.01,341443229,-0.55
2025-08-11,3220.72,3223.23,3199.9,3206.77,304968427,-0.1
2025-08-12,3209.75,3242.17,3189.58,3189.91,373217178,-0.53
2025-08-13,3225.4,3226.37,3192.17,3224.37,320069786,1.08
2025-08-14,3226.52,3239.55,3210.83,3225.66,441467896,0.04
2025-08-18,3202.63,3206.77,3177.28,3177.28,326132755,-1.5
2025-08-19,3185.04,3185.48,3142.48,3151.56,285290653,-0.81
2025-08-20,3121.52,3132.83,3079.27,3130.09,335285191,-0.68
2025-08-21,3140.71,3166.54,3134.86,3141.74,276915481,0.37
2025-08-22,3165.41,3181.95,3159.45,3168.73,236797098,0.86
2025-08-25,3195.14,3209.86,3180.12,3209.86,220165003,1.3
2025-08-26,3199.92,3199.92,3175.31,3179.36,325353201,-0.95
2025-08-27,3185.87,3189.31,3165.77,3187.16,281721035,0.25
2025-08-28,3175.33,3211.34,3164.08,3196.32,312188158,0.29
2025-08-29,3208.8,3212.69,3184.48,3186.01,245132452,-0.32
2025-09-01,3164.58,3177.4,3135.02,3142.93,260138455,-1.35
2025-09-02,3155.73,3174.16,3151.93,3172.35,310678131,0.94
2025-09-03,3177.75,3187.48,3167.23,3184.42,335816449,0.38
2025-09-04,3188.84,3205.61,3185.49,3200.83,286255881,0.52
2025-09-05,3208.83,3214.64,3196.19,3205.12,323844686,0.13
2025-09-08,3209.81,3221.14,3206.34,3219.59,372299882,0.45
2025-09-09,3231.31,3260.05,3221.98,3260.05,439945501,1.26
2025-09-10,3272.2,3317.77,3272.07,3314.53,564706848,1.67
2025-09-11,3336.6,3344.7,3311.86,3344.2,435588829,0.9
2025-09-12,3374.65,3395.54,3362.86,3395.54,448857492,1.54
2025-09-15,3407.78,3420.23,3391.33,3407.31,378854245,0.35
2025-09-16,3421.13,3452.5,3418.1,3449.62,406214278,1.24
2025-09-17,3433.83,3433.83,3406.75,3413.4,326609906,-1.05
2025-09-18,3432.77,3461.3,3422.77,3461.3,391177053,1.4
2025-09-19,3461.23,3467.89,3434.61,3445.24,348844702,-0.46
2025-09-22,3463.84,3482.25,3458.87,3468.65,287867235,0.68
2025-09-23,3489.46,3494.49,3467.83,3486.19,358335419,0.51
2025-09-24,3492.03,3497.95,3442.41,3472.14,287145415,-0.4
2025-09-25,3458.98,3479.42,3454.08,3471.11,293074983,-0.03
2025-09-26,3440.39,3441.91,3365.73,3386.05,399149806,-2.45
2025-09-29,3414.43,3439.12,3413.33,3431.21,416480046,1.33
2025-09-30,3436.0,3443.38,3421.89,3424.6,526401520,-0.19
